movie_id,genre
tt11286314,"Comedy, Drama, Sci-Fi"
tt7221388,"Action, Comedy, Drama"
tt10872600,"Action, Adventure, Fantasy"
tt4236770,"Drama, Western"
tt5180504,"Action, Adventure, Drama"
tt2953050,"Animation, Comedy, Drama"
tt2201227,"Crime, Drama, Mystery"
tt9100054,Drama
tt13668894,"Action, Adventure, Sci-Fi"
tt10838180,"Action, Sci-Fi"
tt13991232,"Drama, Western"
tt14164730,"Crime, Drama, Mystery"
tt4513678,"Adventure, Comedy, Fantasy"
tt16116174,"Documentary, Family"
tt0241527,"Adventure, Family, Fantasy"
tt7660850,Drama
tt11847842,"Drama, Mystery, Thriller"
tt11041332,"Drama, Horror, Mystery"
tt7462410,"Action, Adventure, Drama"
tt6856242,"Action, Adventure, Comedy"
tt1877830,"Action, Crime, Drama"
tt8962124,"Comedy, Drama, Romance"
tt6467266,"Animation, Adventure, Comedy"
tt2442560,"Crime, Drama"
tt10293406,"Drama, Romance, Western"
tt10160804,"Action, Adventure, Crime"
tt11271038,"Comedy, Drama, Romance"
tt0944947,"Action, Adventure, Drama"
tt10574236,"Adventure, Drama, Fantasy"
tt0088526,"Comedy, Drama"
tt1160419,"Action, Adventure, Drama"
tt13659418,"Biography, Drama, Romance"
tt2382320,"Action, Adventure, Thriller"
tt3230854,"Drama, Mystery, Sci-Fi"
tt11233960,"Crime, Drama"
tt8772296,Drama
tt8111088,"Action, Adventure, Fantasy"
tt3322312,"Action, Crime, Drama"
tt9174578,"Adventure, Comedy"
tt8356942,"Action, Thriller"
tt11245972,"Horror, Mystery, Thriller"
tt11126994,"Animation, Action, Adventure"
tt13819960,"Comedy, Drama, Romance"
tt10986410,"Comedy, Drama, Sport"
tt8721424,"Biography, Drama, Musical"
tt0386676,Comedy
tt4244994,"Action, Drama, History"
tt0436992,"Adventure, Drama, Sci-Fi"
tt11712058,"Crime, Drama, Thriller"
tt0773262,"Crime, Drama, Mystery"
tt3108894,Drama
tt5834426,"Action, Adventure, Fantasy"
tt0133093,"Action, Sci-Fi"
tt0330373,"Adventure, Family, Fantasy"
tt11570202,"Adventure, Drama, Mystery"
tt8421350,"Drama, Mystery, Sci-Fi"
tt8847712,"Comedy, Drama, Romance"
tt1520211,"Drama, Horror, Thriller"
tt6468322,"Action, Crime, Drama"
tt0413573,"Drama, Romance"
tt0097647,"Action, Drama, Family"
tt4995540,"Biography, Drama, History"
tt1201607,"Adventure, Fantasy, Mystery"
tt3581652,"Crime, Drama, Musical"
tt5555260,"Comedy, Drama, Romance"
tt2177461,"Drama, Fantasy, Romance"
tt9174558,Drama
tt0098904,Comedy
tt0472954,Comedy
tt0145487,"Action, Adventure, Sci-Fi"
tt9419884,"Action, Adventure, Fantasy"
tt0364845,"Action, Crime, Drama"
tt5071412,"Crime, Drama, Thriller"
tt7428760,"Crime, Mystery"
tt9376612,"Action, Adventure, Fantasy"
tt0903747,"Crime, Drama, Thriller"
tt2250912,"Action, Adventure, Sci-Fi"
tt11214590,"Crime, Drama"
tt0141842,"Crime, Drama"
tt0087332,"Action, Comedy, Fantasy"
tt7097896,"Action, Adventure, Sci-Fi"
tt6334354,"Action, Adventure, Comedy"
tt6920084,"Action, Horror, Sci-Fi"
tt2560140,"Animation, Action, Adventure"
tt7740496,"Crime, Drama, Thriller"
tt0304141,"Adventure, Family, Fantasy"
tt2306299,"Action, Adventure, Drama"
tt2741602,"Crime, Drama, Mystery"
tt0087538,"Action, Drama, Family"
tt0460681,"Drama, Fantasy, Horror"
tt11188682,"Crime, Drama, Thriller"
tt0108778,"Comedy, Romance"
tt0948470,"Action, Adventure, Sci-Fi"
tt5171438,"Action, Adventure, Drama"
tt4574334,"Drama, Fantasy, Horror"
tt2235759,"Biography, Comedy, Drama"
tt10919420,"Action, Drama, Mystery"
tt1190634,"Action, Crime, Drama"
tt0264235,Comedy
tt6320628,"Action, Adventure, Sci-Fi"
tt0203259,"Crime, Drama, Mystery"
tt7991608,"Action, Comedy, Thriller"
tt9032400,"Action, Adventure, Fantasy"
tt0898266,"Comedy, Romance"
tt0452046,"Crime, Drama, Mystery"
tt6264654,"Action, Adventure, Comedy"
tt4179452,"Action, Drama, History"
tt0295297,"Adventure, Family, Fantasy"
tt4154796,"Action, Adventure, Drama"
tt4123432,"Adventure, Family, Fantasy"
tt0234215,"Action, Sci-Fi"
tt7335184,"Crime, Drama, Romance"
tt1606375,"Drama, Romance"
tt1219024,"Comedy, Crime, Drama"
tt8367814,"Action, Comedy, Crime"
tt11212276,Comedy
tt5232792,"Adventure, Drama, Family"
tt1872181,"Action, Adventure, Sci-Fi"
tt6226232,Comedy
tt3032476,"Crime, Drama"
tt2261391,"Action, Drama"
tt10095582,"Drama, History, Thriller"
tt7203552,Drama
tt1043813,"Action, Adventure, Crime"
tt9252090,Drama
tt11198330,"Action, Adventure, Drama"
tt12680684,Drama
tt16301388,Comedy
tt7767422,"Comedy, Drama"
tt11379026,"Comedy, Fantasy"
tt3006802,"Drama, Fantasy, Romance"
tt9115530,"Biography, Drama, Romance"
tt11471892,"Comedy, Crime, Drama"
tt9639470,"Drama, Horror, Mystery"
tt0373889,"Action, Adventure, Family"
tt7740510,"Drama, Horror, Mystery"
tt13453006,"Comedy, Drama"
tt13029044,"Drama, Sci-Fi, Thriller"
tt1844624,"Drama, Horror, Thriller"
tt3480822,"Action, Adventure, Sci-Fi"
tt11337908,Drama
tt4786824,"Biography, Drama, History"
tt11138512,"Action, Adventure, Drama"
tt1442437,"Comedy, Drama, Romance"
tt5537002,"Crime, Drama, History"
tt0052520,"Drama, Fantasy, Horror"
tt2085059,"Drama, Sci-Fi, Thriller"
tt0413300,"Action, Adventure, Sci-Fi"
tt2467372,"Comedy, Crime"
tt10574558,"Drama, Fantasy, Horror"
tt12851524,"Comedy, Crime, Drama"
tt9335498,"Animation, Action, Adventure"
tt0111161,Drama
tt0159206,"Comedy, Drama, Romance"
tt0417741,"Action, Adventure, Family"
tt4477976,Comedy
tt1464335,"Action, Adventure"
tt4647692,Comedy
tt7587890,"Crime, Drama"
tt12536294,"Biography, Drama"
tt10155688,"Crime, Drama, Mystery"
tt0926084,"Adventure, Family, Fantasy"
tt3470600,"Animation, Comedy, Family"
tt0242653,"Action, Sci-Fi"
tt1586680,"Comedy, Drama"
tt13406094,"Comedy, Drama"
tt2802144,"Action, Adventure, Comedy"
tt9140554,"Action, Adventure, Fantasy"
tt11083552,"Action, Crime, Thriller"
tt14500082,"Comedy, Drama"
tt3183660,"Adventure, Family, Fantasy"
tt13315324,"Comedy, Crime, Drama"
tt5108870,"Action, Adventure, Drama"
tt0475784,"Drama, Mystery, Sci-Fi"
tt1583607,Comedy
tt12789558,Drama
tt4123430,"Adventure, Family, Fantasy"
tt8545482,"Sci-Fi, Thriller"
tt0460649,"Comedy, Romance"
tt7657566,"Crime, Drama, Mystery"
tt0316654,"Action, Adventure, Sci-Fi"
tt1888075,"Comedy, Crime, Drama"
tt8634332,"Comedy, Drama"
tt0306414,"Crime, Drama, Thriller"
tt4052886,"Crime, Drama, Fantasy"
tt14155746,Comedy
tt10648342,"Action, Adventure, Fantasy"
tt9389998,"Action, Adventure, Crime"
tt9140560,"Action, Comedy, Drama"
tt7268738,"Action, Adventure, Comedy"
tt2802850,"Crime, Drama, Thriller"
tt0120737,"Action, Adventure, Drama"
tt9244554,"Action, Crime, Mystery"
tt13146488,"Action, Adventure, Comedy"
tt1632701,"Comedy, Drama"
tt5834204,"Drama, Sci-Fi, Thriller"
tt4633694,"Animation, Action, Adventure"
tt7504818,"Animation, Adventure, Comedy"
tt9243804,"Adventure, Drama, Fantasy"
tt4270492,Drama
tt3281548,"Drama, Romance"
tt0065314,Comedy
tt11389748,Drama
tt10986222,Drama
tt11729298,"Biography, Drama, Sport"
tt0096697,"Animation, Short, Comedy"
tt0118401,"Crime, Drama, Mystery"
tt4154756,"Action, Adventure, Sci-Fi"
tt0816692,"Adventure, Drama, Sci-Fi"
tt14220870,Drama
tt0068646,"Crime, Drama"
tt0314331,"Comedy, Drama, Romance"
tt3107288,"Action, Adventure, Drama"
tt0460627,"Comedy, Crime, Drama"
tt0059742,"Biography, Drama, Family"
tt11055882,Drama
tt6079772,"Action, Thriller"
tt1405406,"Drama, Fantasy, Horror"
tt10954652,"Drama, Horror, Mystery"
tt2356777,"Crime, Drama, Mystery"
tt0804484,"Drama, Sci-Fi"
tt7518786,"Biography, Drama, History"
tt0067328,"Drama, Romance"
tt1270797,"Action, Adventure, Sci-Fi"
tt0411008,"Adventure, Drama, Fantasy"
tt5675620,"Action, Crime, Drama"
tt10944760,"Drama, Horror, Sci-Fi"
tt10168312,"Animation, Action, Adventure"
tt3526078,Comedy
tt10696784,"Action, Drama, Western"
tt0468569,"Action, Crime, Drama"
tt10886166,"Drama, Romance"
tt0120338,"Drama, Romance"
tt12104930,"Drama, Mystery, Thriller"
tt13024674,"Action, Comedy, Crime"
tt11168604,"Comedy, Crime, Drama"
tt0412142,"Drama, Mystery"
tt6470478,Drama
tt1312171,"Action, Adventure, Comedy"
tt14218830,Comedy
tt1397514,"Action, Adventure, Comedy"
tt11003218,"Drama, Mystery, Thriller"
tt6398184,"Drama, Romance"
tt8740790,"Drama, Romance"
tt10370710,"Comedy, Drama, Romance"
tt0108757,"Drama, Romance"
tt0121955,"Animation, Comedy"
tt2049116,"Crime, Drama, Thriller"
tt1439629,Comedy
tt11717610,Comedy
tt8772262,"Drama, Horror, Mystery"
tt7817340,Drama
tt10366460,"Comedy, Drama, Music"
tt8385148,"Action, Comedy, Crime"
tt6048596,"Crime, Drama, Mystery"
tt13323118,"Drama, Horror, Mystery"
tt3228774,"Adventure, Comedy, Crime"
tt8041270,"Action, Adventure, Sci-Fi"
tt1466074,"Crime, Drama, Mystery"
tt2805096,"Action, Crime, Drama"
tt6473344,"Action, Drama, War"
tt9698480,"Crime, Drama, Mystery"
tt1077368,"Comedy, Fantasy, Horror"
tt8946378,"Comedy, Crime, Drama"
tt5727208,"Crime, Drama, Thriller"
tt7131622,"Comedy, Drama"
tt4655480,Drama
tt0870154,"Action, Adventure, Comedy"
tt5362988,"Crime, Drama, Mystery"
tt11794642,"Crime, Drama, Mystery"
tt0993846,"Biography, Comedy, Crime"
tt7259746,Reality-TV
tt0043208,"Comedy, Family"
tt0238784,"Comedy, Drama"
tt2215842,"Crime, Drama, Mystery"
tt6156584,"Action, Drama, Sci-Fi"
tt1124373,"Crime, Drama, Thriller"
tt6111130,"Action, Adventure, Crime"
tt2861424,"Animation, Adventure, Comedy"
tt1630029,"Action, Adventure, Sci-Fi"
tt0903624,"Adventure, Fantasy"
tt6751668,"Comedy, Drama, Thriller"
tt3007572,"Drama, Fantasy, Horror"
tt1826940,Comedy
tt1983079,"Drama, History"
tt1475582,"Crime, Drama, Mystery"
tt0439572,"Action, Adventure, Fantasy"
tt14153686,"Comedy, Drama, Music"
tt12361974,"Action, Adventure, Fantasy"
tt10323338,"Action, Drama, Thriller"
tt0087182,"Action, Adventure, Sci-Fi"
tt2403776,"Action, Adventure, Drama"
tt7631058,"Action, Adventure, Drama"
tt5420376,"Crime, Drama, Mystery"
tt9620288,"Biography, Drama, Sport"
tt10048342,Drama
tt7366338,"Drama, History, Thriller"
tt9620292,"Crime, Drama, Mystery"
tt7908628,"Comedy, Fantasy, Horror"
tt1677720,"Action, Adventure, Sci-Fi"
tt1267295,"Action, Adventure, Comedy"
tt0106179,"Crime, Drama, Mystery"
tt0182576,"Animation, Comedy"
tt1266020,Comedy
tt0110912,"Crime, Drama"
tt8456190,"Animation, Comedy"
tt3420504,"Adventure, Drama, Sci-Fi"
tt5433138,"Action, Crime, Thriller"
tt1595859,"Crime, Drama, Mystery"
tt0185906,"Drama, History, War"
tt0092455,"Action, Adventure, Mystery"
tt0369179,"Comedy, Romance"
tt4158110,"Crime, Drama, Thriller"
tt8332922,"Drama, Horror, Sci-Fi"
tt13320622,"Action, Adventure, Comedy"
tt5788792,"Comedy, Drama"
tt1041829,"Comedy, Drama, Romance"
tt8690918,"Comedy, Drama, Mystery"
tt0098844,"Crime, Drama, Mystery"
tt6723592,"Action, Sci-Fi, Thriller"
tt9766332,"Comedy, Drama, Romance"
tt1375666,"Action, Adventure, Sci-Fi"
tt8714904,"Crime, Drama"
tt4649466,"Action, Adventure, Comedy"
tt2661044,"Drama, Mystery, Sci-Fi"
tt7286456,"Crime, Drama, Thriller"
tt9421570,"Crime, Drama, Thriller"
tt5753856,"Crime, Drama, Mystery"
tt2322441,"Drama, Romance, Thriller"
tt13207508,"Drama, Romance, Sci-Fi"
tt8398600,"Comedy, Drama"
tt5460226,"Comedy, Crime, Drama"
tt11846996,"Crime, Drama, Mystery"
tt1285016,"Biography, Drama"
tt14452228,"Comedy, Fantasy, Romance"
tt1745960,"Action, Drama"
tt7949218,"Action, Drama, Sci-Fi"
tt1196946,"Crime, Drama, Mystery"
tt0061811,"Crime, Drama, Mystery"
tt13304700,"Drama, Romance"
tt7984766,"Biography, Drama, History"
tt7491982,"Action, Crime, Drama"
tt1596363,"Biography, Comedy, Drama"
tt8332130,"Crime, Drama, Sci-Fi"
tt14708510,"Crime, Drama, Thriller"
tt0361748,"Adventure, Drama, War"
tt6932244,"Action, Drama"
tt1856101,"Action, Drama, Mystery"
tt0099785,"Comedy, Family"
tt2364582,"Action, Adventure, Drama"
tt0091326,"Action, Family, Sport"
tt13655456,"Crime, Drama, Thriller"
tt5290382,"Crime, Drama, Thriller"
tt0368530,"Drama, Romance, Sport"
tt8760932,"Drama, Mystery, Thriller"
tt2788432,"Biography, Crime, Drama"
tt0804503,Drama
tt0117571,"Horror, Mystery"
tt8518136,"Biography, Comedy, Drama"
tt2303687,"Crime, Drama, Mystery"
tt10925852,Drama
tt8110232,"Crime, Drama"
tt7235466,"Action, Drama, Thriller"
tt8103070,"Adventure, Drama, Fantasy"
tt7016936,"Action, Adventure, Drama"
tt0055614,"Crime, Drama, Musical"
tt10272386,"Drama, Mystery"
tt13968792,"Drama, Thriller"
tt1392170,"Action, Adventure, Sci-Fi"
tt7888964,"Action, Crime, Drama"
tt2119532,"Biography, Drama, History"
tt13575806,"Animation, Adventure, Comedy"
tt0070723,"Crime, Mystery, Sci-Fi"
tt0167260,"Action, Adventure, Drama"
tt11947248,"Comedy, Drama"
tt0137523,Drama
tt0095016,"Action, Thriller"
tt0118276,"Action, Drama, Fantasy"
tt2357547,"Action, Crime, Drama"
tt0499549,"Action, Adventure, Fantasy"
tt2379713,"Action, Adventure, Thriller"
tt2015381,"Action, Adventure, Comedy"
tt0371746,"Action, Adventure, Sci-Fi"
tt1663202,"Action, Adventure, Drama"
tt11192306,"Action, Adventure, Drama"
tt7772588,"Drama, Sci-Fi"
tt1262416,"Horror, Mystery"
tt1600194,"Action, Crime, Drama"
tt3581920,"Action, Adventure, Drama"
tt9737326,"Drama, Fantasy, Sci-Fi"
tt0491738,"Comedy, Crime, Mystery"
tt8068860,"Drama, Horror, Mystery"
tt1796960,"Crime, Drama, Mystery"
tt0388629,"Animation, Action, Adventure"
tt0120815,"Drama, War"
tt1211837,"Action, Adventure, Fantasy"
tt6823148,"Biography, Drama, History"
tt10687506,"Biography, Drama, History"
tt3502248,"Crime, Drama"
tt9603212,"Action, Adventure, Thriller"
tt2328900,"Biography, Drama, History"
tt0117913,"Crime, Drama, Thriller"
tt0120689,"Crime, Drama, Fantasy"
tt8579674,"Action, Drama, War"
tt9812474,"Drama, Fantasy, Horror"
tt3743822,"Drama, Horror, Sci-Fi"
tt0398165,"Comedy, Crime, Sport"
tt1431045,"Action, Adventure, Comedy"
tt2267998,"Drama, Mystery, Thriller"
tt7395114,"Crime, Drama, Thriller"
tt0414387,"Drama, Romance"
tt9208876,"Action, Adventure, Drama"
tt0247082,"Crime, Drama, Mystery"
tt0848228,"Action, Adventure, Sci-Fi"
tt8594324,"Comedy, Fantasy"
tt3498820,"Action, Adventure, Sci-Fi"
tt5109280,"Animation, Action, Adventure"
tt0455275,"Action, Crime, Drama"
tt1378167,"Action, Crime, Drama"
tt5057054,"Action, Drama, Thriller"
tt1843230,"Adventure, Fantasy, Romance"
tt6654210,"Action, Sci-Fi, Thriller"
tt2712740,Comedy
tt13069986,"Drama, Romance"
tt14218674,"Action, Crime, Mystery"
tt3501632,"Action, Adventure, Comedy"
tt0075314,"Crime, Drama"
tt2193021,"Action, Adventure, Crime"
tt3811906,"Crime, Horror, Mystery"
tt0061735,"Comedy, Drama"
tt9735318,"Documentary, Music"
tt11127680,"Drama, Thriller"
tt13930240,"Drama, Thriller"
tt1853728,"Drama, Western"
tt5726616,"Drama, Romance"
tt0108358,"Action, Biography, Drama"
tt0840361,"Crime, Drama, Thriller"
tt2872518,"Drama, Fantasy"
tt0993840,"Action, Crime, Horror"
tt12801262,"Animation, Adventure, Comedy"
tt0416449,"Action, Drama"
tt1321511,"Action, Drama, Mystery"
tt0482571,"Drama, Mystery, Thriller"
tt11196036,"Crime, Drama, Thriller"
tt6741278,"Animation, Action, Adventure"
tt1321510,"Drama, Musical, Romance"
tt0112573,"Biography, Drama, History"
tt0458339,"Action, Adventure, Sci-Fi"
tt10288566,"Comedy, Drama"
tt10478054,"Action, Adventure, Drama"
tt5463162,"Action, Adventure, Comedy"
tt8416494,"Action, Adventure, Comedy"
tt10590066,"Comedy, Drama"
tt2707408,"Biography, Crime, Drama"
tt1486217,"Animation, Action, Comedy"
tt0108052,"Biography, Drama, History"
tt4154664,"Action, Adventure, Sci-Fi"
tt0109830,"Drama, Romance"
tt0488120,"Crime, Drama, Thriller"
tt10653784,"Drama, Romance"
tt6513120,"Biography, Comedy, Drama"
tt5024912,"Comedy, Romance"
tt0066279,"Drama, Family"
tt2632424,"Drama, Fantasy, Horror"
tt1561755,"Animation, Comedy"
tt1825683,"Action, Adventure, Sci-Fi"
tt0078788,"Drama, Mystery, War"
tt10888878,"Crime, Drama, Mystery"
tt14039582,Drama
tt0118363,"Comedy, Crime, Drama"
tt10016180,"Crime, Drama, Mystery"
tt0106004,Comedy
tt0062376,Drama
tt0167261,"Action, Adventure, Drama"
tt0373051,"Action, Adventure, Family"
tt0172493,"Biography, Drama"
tt9288692,"Comedy, Horror, Mystery"
tt0144084,"Crime, Drama, Horror"
tt2294189,"Crime, Drama, Thriller"
tt1489428,"Action, Crime, Drama"
tt15097216,"Crime, Drama"
tt5607976,"Adventure, Drama, Family"
tt10839422,"Comedy, Drama, Romance"
tt0094525,"Crime, Drama, Mystery"
tt2395427,"Action, Adventure, Sci-Fi"
tt7984734,"Drama, Fantasy, Horror"
tt0119217,"Drama, Romance"
tt0099685,"Biography, Crime, Drama"
tt3749900,"Action, Crime, Drama"
tt0367279,Comedy
tt15398776,"Biography, Drama, History"
tt2372162,"Comedy, Crime, Drama"
tt1693592,"Crime, Drama, Mystery"
tt9054904,"Comedy, Crime, Drama"
tt2911666,"Action, Crime, Thriller"
tt0200276,Drama
tt1094229,"Drama, Family"
tt1392214,"Crime, Drama, Mystery"
tt1568346,"Crime, Drama, Mystery"
tt0110413,"Action, Crime, Drama"
